joint_0_vel,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_7_vel,joint_8_vel,joint_9_vel,joint_10_vel,joint_11_vel,joint_12_vel,joint_13_vel,joint_14_vel,joint_15_vel,joint_16_vel,joint_17_vel,joint_18_vel,joint_19_vel,joint_20_vel,joint_21_vel,joint_22_vel,joint_23_vel,joint_24_vel,joint_25_vel,joint_26_vel,joint_27_vel,joint_28_vel
0.104084,-0.071046,0.062001,0.343641,0.173511,-0.103315,0.443500,0.682642,-0.372906,0.088714,0.273209,-4.054953,-3.678984,-0.246094,-0.143530,-0.289749,0.126268,-0.437100,0.634422,-0.225543,1.142526,-2.746684,-2.184831,-0.033453,0.048012,-0.404480,-0.125308,1.191214,-1.079092
0.072403,-0.080185,0.054038,0.342743,0.208279,-0.091377,0.277259,0.710037,-0.308309,0.168729,0.320426,-3.917819,-3.631019,-0.166856,-0.206088,-0.406940,0.278175,-0.498065,0.690229,-0.142434,1.190127,-2.405336,-2.044185,-0.014352,0.110568,-0.295537,-0.046423,1.335844,-1.203257
0.160784,-0.070518,-0.019196,0.285462,0.219784,-0.008571,0.079956,0.606114,-0.358121,0.117510,0.341616,-2.566125,-2.520615,0.038880,-0.069708,-0.466164,0.476177,-0.388385,0.625191,-0.285973,1.045272,-1.445183,-1.678395,-0.558516,0.533499,-0.046957,0.043291,0.934307,-0.682749
0.191358,-0.036809,-0.064710,0.295284,0.221963,0.005688,0.147007,0.654094,-0.249053,0.121529,0.309653,-2.506913,-2.312062,0.035035,-0.095259,-0.375728,0.466506,-0.371682,0.568535,-0.219948,0.991690,-1.360839,-1.589639,-0.222831,0.650754,-0.005345,0.047250,1.074852,-0.711147
0.252506,0.030611,-0.155739,0.314928,0.226322,0.034207,0.281109,0.750055,-0.030917,0.129565,0.245726,-2.388489,-1.894957,0.027346,-0.146360,-0.194855,0.447164,-0.338276,0.455223,-0.087900,0.884526,-1.192151,-1.412127,0.448540,0.885265,0.077880,0.055169,1.355942,-0.767942
0.186959,0.006440,-0.172015,0.294770,0.223829,0.040820,0.099368,0.571706,0.044830,0.136015,0.227814,-2.127216,-1.659815,-0.001211,-0.022099,-0.098634,0.402822,-0.207141,0.347887,0.045211,0.700573,-0.968583,-1.454392,0.734221,0.860502,0.101464,-0.026417,1.207054,-0.623741
0.154186,-0.005645,-0.180153,0.284691,0.222583,0.044127,0.008497,0.482531,0.082703,0.139240,0.218858,-1.996579,-1.542243,-0.015489,0.040032,-0.050524,0.380650,-0.141574,0.294219,0.111767,0.608597,-0.856799,-1.475525,0.877061,0.848120,0.113256,-0.067210,1.132609,-0.551641
0.227035,-0.026116,-0.255158,0.246670,0.204371,-0.012756,0.307370,0.743315,0.210612,0.214595,0.282520,-1.479380,-1.115025,0.066190,0.093344,0.033358,0.284788,-0.066403,0.299372,0.160275,0.500811,-0.686880,-1.247934,1.046834,0.639340,0.103207,0.111344,1.381170,-0.279771
0.163116,-0.046587,-0.274130,0.245789,0.185350,0.016537,0.205351,0.627059,0.159474,0.211915,0.272392,-1.413029,-1.014638,0.075643,0.113591,0.095840,0.233245,-0.098920,0.286764,0.125183,0.420109,-0.618440,-1.225698,1.001440,0.552245,0.157003,0.112568,1.234336,-0.249164
0.035279,-0.087531,-0.312074,0.244028,0.147310,0.075124,0.001314,0.394546,0.057198,0.206554,0.252137,-1.280329,-0.813864,0.094551,0.154085,0.220805,0.130159,-0.163954,0.261548,0.055000,0.258704,-0.481561,-1.181227,0.910651,0.378056,0.264595,0.115017,0.940670,-0.187950
