body_0_x,body_0_y,body_0_z
-0.373876,0.009138,0.785801
-0.377104,0.007941,0.785891
-0.379250,0.006548,0.785781
-0.381366,0.006137,0.786247
-0.383465,0.006219,0.787003
-0.385095,0.005692,0.787404
-0.386586,0.005673,0.787815
-0.387798,0.006672,0.788242
-0.389189,0.006667,0.788423
-0.390670,0.006159,0.788481
-0.391554,0.006387,0.788485
-0.392661,0.006552,0.788477
-0.394214,0.006594,0.788447
-0.394958,0.006711,0.788336
-0.395298,0.006866,0.788185
-0.397105,0.005856,0.787494
-0.398509,0.005150,0.786892
-0.399104,0.005054,0.786471
-0.400351,0.004302,0.785937
-0.401923,0.003223,0.785346
-0.402986,0.002825,0.783627
-0.403837,0.002374,0.782287
-0.404262,0.001819,0.781707
-0.405492,0.000708,0.780006
-0.407124,-0.000680,0.777746
-0.406836,-0.000579,0.776808
-0.406730,-0.001041,0.775417
-0.406990,-0.002629,0.773118
-0.405591,-0.002977,0.771544
-0.403363,-0.002706,0.770331
-0.401572,-0.004499,0.768230
-0.399091,-0.005996,0.766567
-0.395230,-0.006905,0.765782
-0.390656,-0.008067,0.764184
-0.385727,-0.009357,0.762180
-0.379407,-0.010985,0.761723
-0.372919,-0.012084,0.760990
-0.366095,-0.012124,0.759703
-0.358715,-0.010763,0.757705
-0.351058,-0.008699,0.755351
-0.342431,-0.004713,0.751456
-0.335011,-0.000435,0.747406
-0.330004,0.004427,0.743044
-0.325795,0.008611,0.738898
-0.321986,0.012455,0.734860
-0.320429,0.015041,0.732771
-0.318957,0.016917,0.731081
-0.317655,0.017376,0.730192
-0.318726,0.014391,0.730571
-0.320984,0.009683,0.731584
-0.324548,0.007075,0.734455
-0.327872,0.003437,0.737638
-0.330714,-0.002262,0.741447
-0.333100,-0.006148,0.745864
-0.335259,-0.009128,0.750585
-0.337412,-0.010671,0.755431
-0.338658,-0.011628,0.759886
-0.338087,-0.011416,0.763557
-0.337005,-0.009690,0.766879
-0.335666,-0.007207,0.770027
-0.333179,-0.004308,0.771993
-0.330467,-0.001510,0.773760
-0.327305,0.001085,0.775129
-0.323299,0.003855,0.776803
-0.318870,0.006712,0.778630
-0.314544,0.008569,0.778684
-0.310439,0.010240,0.778991
-0.306776,0.011541,0.779804
-0.302671,0.012769,0.780893
-0.298344,0.013962,0.782120
-0.295492,0.013412,0.781825
-0.292515,0.013104,0.782179
-0.289288,0.013277,0.783830
-0.286381,0.013000,0.783948
-0.283636,0.012496,0.783300
-0.280521,0.011848,0.784357
-0.277177,0.011205,0.785118
-0.273373,0.010570,0.785285
-0.270324,0.010166,0.785027
-0.267652,0.009877,0.784556
-0.264554,0.009062,0.785293
-0.261577,0.008656,0.785513
-0.258844,0.009069,0.784701
-0.256592,0.008857,0.784841
-0.254581,0.008333,0.785457
-0.252065,0.009119,0.784755
-0.249914,0.009576,0.784477
-0.248493,0.009378,0.785047
-0.246435,0.009724,0.784669
-0.244058,0.010342,0.783818
-0.242183,0.010544,0.784409
-0.240193,0.010871,0.784432
-0.237973,0.011444,0.783319
-0.235849,0.011876,0.783494
-0.233773,0.012236,0.784314
-0.231081,0.012753,0.783292
-0.228697,0.013197,0.782894
-0.226929,0.013496,0.783744
-0.224104,0.014119,0.783922
-0.220752,0.014904,0.783762
-0.217886,0.015125,0.783549
-0.215217,0.015660,0.783377
-0.212939,0.016822,0.783286
-0.209915,0.017617,0.783218
-0.206516,0.018227,0.783163
-0.203770,0.020105,0.782774
-0.200952,0.021463,0.782502
-0.197989,0.021782,0.782461
-0.195075,0.023136,0.782399
-0.192186,0.025007,0.782328
-0.189484,0.025328,0.781673
-0.187019,0.026038,0.781406
-0.185028,0.027526,0.781914
-0.182562,0.027772,0.781909
-0.179860,0.027397,0.781648
-0.178789,0.028011,0.782193
-0.177664,0.027996,0.782531
-0.176432,0.026720,0.782453
-0.175148,0.026322,0.782333
-0.173839,0.026362,0.782191
-0.172205,0.024809,0.782558
-0.170258,0.023785,0.782872
-0.167685,0.023818,0.783078
-0.165412,0.022976,0.783771
-0.163290,0.021695,0.784709
-0.159217,0.021773,0.785371
-0.155739,0.021585,0.786225
-0.153448,0.020867,0.787461
-0.150241,0.020540,0.788553
-0.146574,0.020408,0.789573
-0.144454,0.019463,0.790247
-0.141712,0.018665,0.791264
-0.137727,0.018158,0.792970
-0.134363,0.017196,0.793838
-0.131308,0.016006,0.794287
-0.126341,0.014845,0.795560
-0.121963,0.013751,0.796632
-0.118762,0.012791,0.797302
-0.114586,0.011676,0.797602
-0.109923,0.010483,0.797718
-0.106506,0.010118,0.798354
-0.102677,0.009357,0.798628
-0.098022,0.007804,0.798176
-0.093844,0.006745,0.798594
-0.089904,0.005932,0.799448
-0.086643,0.004549,0.798809
-0.082898,0.003066,0.798618
-0.078186,0.001383,0.799326
-0.074536,0.000053,0.799422
-0.071417,-0.001101,0.799212
-0.067310,-0.003726,0.799408
-0.063287,-0.005773,0.799518
-0.059432,-0.006664,0.799458
-0.055746,-0.009036,0.799202
-0.052145,-0.012148,0.798848
-0.047386,-0.013710,0.798491
-0.043227,-0.015776,0.798098
-0.040267,-0.018851,0.797632
-0.035667,-0.021356,0.797373
-0.030246,-0.023576,0.797216
-0.028374,-0.026719,0.796189
-0.025621,-0.029883,0.795540
-0.021109,-0.033088,0.795644
-0.017649,-0.036222,0.794817
-0.014717,-0.039319,0.793525
-0.011672,-0.042946,0.793632
-0.008331,-0.046508,0.793289
-0.004396,-0.049940,0.792048
-0.001466,-0.053695,0.791438
0.000961,-0.057612,0.791143
0.005533,-0.061190,0.790080
0.009312,-0.064745,0.788970
0.011507,-0.068254,0.787764
0.015100,-0.072108,0.786763
0.019393,-0.076135,0.785863
0.021966,-0.078852,0.784280
0.024971,-0.081951,0.782988
0.028838,-0.085811,0.782276
0.032027,-0.088694,0.780774
0.034875,-0.091089,0.778878
0.038595,-0.094628,0.778299
0.042036,-0.097787,0.777268
0.044919,-0.100186,0.775337
0.048110,-0.102666,0.774372
0.051453,-0.105187,0.773892
0.054227,-0.107813,0.772064
0.057207,-0.110421,0.770677
0.060599,-0.112990,0.770168
0.063381,-0.115022,0.769143
0.065858,-0.116785,0.767859
0.069473,-0.119249,0.767690
0.072582,-0.121396,0.767247
0.074683,-0.122910,0.766254
0.077450,-0.125124,0.765825
0.080550,-0.127688,0.765678
0.083024,-0.128664,0.765243
0.085473,-0.130257,0.764974
0.087873,-0.133081,0.765038
0.090595,-0.134538,0.764964
0.093477,-0.135310,0.764822
0.094984,-0.137666,0.764813
0.096908,-0.139646,0.764739
0.099666,-0.140876,0.764537
0.101322,-0.142524,0.764600
0.102427,-0.144381,0.764796
0.105271,-0.145819,0.764933
0.107319,-0.147311,0.764974
0.107773,-0.148912,0.764823
0.109647,-0.150279,0.764688
0.112232,-0.151528,0.764562
0.112965,-0.153129,0.764414
0.114126,-0.154545,0.764427
0.116143,-0.155588,0.764761
0.117000,-0.157099,0.764635
0.117278,-0.158844,0.764278
0.118956,-0.159601,0.764702
0.120115,-0.160745,0.764919
0.120237,-0.162662,0.764724
0.121502,-0.163683,0.764756
0.123338,-0.164255,0.764900
0.123417,-0.165772,0.765060
0.123980,-0.167152,0.764991
0.125511,-0.168261,0.764465
0.126157,-0.169269,0.764703
0.126361,-0.170226,0.765322
0.127874,-0.171282,0.764624
0.128817,-0.172406,0.764356
0.128619,-0.173665,0.764948
0.129492,-0.174603,0.764629
0.130900,-0.175381,0.763855
0.131134,-0.176879,0.764443
0.131457,-0.178074,0.764606
0.131960,-0.178662,0.763921
0.132579,-0.180120,0.764207
0.133257,-0.182013,0.764979
0.132770,-0.182566,0.764738
0.132500,-0.183525,0.764458
0.132667,-0.185294,0.764096
0.132160,-0.186314,0.764222
0.131318,-0.186959,0.764591
0.130602,-0.188861,0.764010
0.130018,-0.190438,0.763874
0.129697,-0.191369,0.764629
0.128791,-0.192802,0.764478
0.127592,-0.194488,0.763874
0.126924,-0.196098,0.764508
0.126085,-0.197693,0.764670
0.124905,-0.199256,0.763887
0.123332,-0.201110,0.763963
0.121561,-0.203110,0.764470
0.120342,-0.204790,0.764207
0.118361,-0.206608,0.764064
0.114856,-0.208704,0.764160
0.112649,-0.210879,0.764104
0.111093,-0.213093,0.763972
0.107299,-0.214718,0.763972
0.103972,-0.216692,0.763931
0.101579,-0.219365,0.763806
0.098906,-0.221366,0.763648
0.096093,-0.223031,0.763472
0.093224,-0.226288,0.763030
0.090811,-0.229165,0.762880
0.089307,-0.231281,0.763314
0.087468,-0.233834,0.762876
0.085461,-0.236604,0.762000
0.084454,-0.240410,0.762234
0.083518,-0.243820,0.762376
0.082726,-0.246438,0.762336
0.082223,-0.250450,0.762112
0.081866,-0.255159,0.761797
0.080785,-0.257567,0.762298
0.079601,-0.260491,0.762612
0.078212,-0.264449,0.762554
0.076911,-0.266933,0.762684
