joint_0_vel,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_7_vel,joint_8_vel,joint_9_vel,joint_10_vel,joint_11_vel,joint_12_vel,joint_13_vel,joint_14_vel,joint_15_vel,joint_16_vel,joint_17_vel,joint_18_vel,joint_19_vel,joint_20_vel,joint_21_vel,joint_22_vel,joint_23_vel,joint_24_vel,joint_25_vel,joint_26_vel,joint_27_vel,joint_28_vel
0.043198,0.050254,0.677370,-0.084638,-0.391315,-0.090818,0.112863,-0.923589,-0.224533,0.130921,-0.082956,0.061896,-1.786943,-0.219792,0.227212,-0.132535,0.489593,0.103206,0.343868,-0.451671,1.060827,-0.218055,-2.740304,0.510763,1.622457,0.207275,0.515805,-0.660948,0.864688
0.037249,0.060504,0.711332,-0.064454,-0.431626,-0.084741,0.074829,-1.058593,-0.242175,0.153953,-0.070350,0.093458,-1.885842,-0.248901,0.269474,-0.123104,0.565818,0.089140,0.379965,-0.470189,1.095977,-0.160092,-2.555886,0.486090,1.377288,0.206362,0.544943,-0.701405,0.802813
0.051704,0.160516,0.791633,-0.049998,-0.459896,-0.088880,-0.164374,-1.210153,-0.216600,0.330701,-0.018757,0.251727,-2.191499,-0.301711,0.136559,-0.077477,0.675226,0.057566,0.354929,-0.315709,0.988117,-0.147564,-2.131378,0.350343,0.795080,0.185539,0.496111,-0.428964,0.774935
0.019949,0.155291,0.811872,-0.042589,-0.464844,-0.105250,-0.209519,-1.282188,-0.251446,0.346076,-0.027959,0.280383,-2.298404,-0.338175,0.137730,-0.039033,0.660208,0.009974,0.437071,-0.257023,0.983659,-0.124346,-2.010014,0.284411,0.783730,0.160161,0.419760,-0.425200,0.589029
-0.043561,0.144840,0.852350,-0.027770,-0.474741,-0.137991,-0.299810,-1.426258,-0.321137,0.376826,-0.046363,0.337697,-2.512214,-0.411104,0.140071,0.037855,0.630173,-0.085210,0.601355,-0.139652,0.974743,-0.077909,-1.767285,0.152546,0.761030,0.109405,0.267059,-0.417670,0.217218
-0.055282,0.224501,0.832791,-0.093792,-0.492082,-0.195327,-0.452087,-1.475584,-0.230752,0.390907,-0.090400,0.360328,-2.308645,-0.343094,-0.101106,0.111098,0.523758,-0.138333,0.426680,0.266300,0.762705,0.126415,-1.071533,-0.049565,0.652975,0.135604,0.259264,-0.224436,0.026309
-0.061142,0.264332,0.823011,-0.126802,-0.500753,-0.223995,-0.528225,-1.500247,-0.185559,0.397948,-0.112419,0.371643,-2.206861,-0.309090,-0.221695,0.147719,0.470550,-0.164894,0.339342,0.469276,0.656685,0.228578,-0.723657,-0.150621,0.598948,0.148703,0.255366,-0.127819,-0.069145
0.011619,0.273685,0.677653,-0.042459,-0.337483,-0.133636,-0.661240,-1.168972,-0.091127,0.593759,-0.041501,0.559675,-2.287030,-0.204590,-0.264513,0.167440,0.459649,-0.076874,0.279212,0.760642,0.192781,0.108168,-0.408896,-0.476073,-0.263758,0.012879,-0.170808,0.368907,-0.649616
-0.022988,0.257172,0.653402,-0.003009,-0.296500,-0.163089,-0.652078,-1.142279,-0.075080,0.639290,-0.030704,0.533732,-2.199316,-0.241091,-0.273465,0.233959,0.326236,-0.110273,0.213658,0.855603,0.203649,0.166752,-0.342239,-0.608733,-0.169147,0.042816,-0.195777,0.312850,-0.673364
-0.092201,0.224146,0.604900,0.075890,-0.214533,-0.221994,-0.633754,-1.088894,-0.042987,0.730351,-0.009109,0.481846,-2.023888,-0.314094,-0.291368,0.366998,0.059409,-0.177070,0.082549,1.045525,0.225386,0.283921,-0.208926,-0.874051,0.020074,0.102689,-0.245715,0.200735,-0.720860
-0.040300,0.317458,0.550480,0.073420,-0.165461,-0.107912,-0.894872,-1.027654,0.049381,0.837627,0.026692,0.558020,-1.947142,-0.308461,-0.352111,0.378675,0.060336,-0.081880,-0.055392,1.184884,-0.015960,0.237212,-0.150004,-0.942539,-0.347810,0.095303,-0.299021,0.248721,-0.557993
-0.014349,0.364114,0.523271,0.072184,-0.140925,-0.050872,-1.025431,-0.997033,0.095564,0.891265,0.044593,0.596107,-1.908769,-0.305645,-0.382483,0.384514,0.060799,-0.034286,-0.124363,1.254564,-0.136634,0.213858,-0.120543,-0.976782,-0.531752,0.091610,-0.325675,0.272714,-0.476560
0.005322,0.259001,0.355545,0.088108,-0.094411,-0.069198,-0.797748,-0.811665,0.059282,0.685021,0.270660,0.549850,-1.880282,-0.189498,-0.309978,0.425427,-0.079941,-0.063398,-0.047452,1.145656,-0.223770,0.183116,-0.271770,-0.638188,-0.283134,0.191361,-0.220482,0.037656,-0.240463
0.004743,0.234785,0.325812,0.122650,-0.056101,-0.053945,-0.775399,-0.728596,0.075002,0.655595,0.328417,0.539856,-1.827975,-0.145988,-0.369700,0.448719,-0.114803,-0.058597,-0.106137,1.122061,-0.235778,0.197979,-0.143250,-0.585084,-0.226569,0.250660,-0.211745,0.005200,-0.374244
0.003585,0.186354,0.266347,0.191734,0.020518,-0.023440,-0.730701,-0.562458,0.106443,0.596744,0.443932,0.519868,-1.723360,-0.058967,-0.489144,0.495305,-0.184529,-0.048995,-0.223506,1.074870,-0.259795,0.227705,0.113791,-0.478876,-0.113440,0.369258,-0.194270,-0.059712,-0.641806
0.006018,0.180550,0.278582,0.298009,0.031268,-0.010195,-0.612352,-0.576173,0.118753,0.690571,0.430895,0.503295,-1.692284,-0.075656,-0.533905,0.455031,-0.176289,0.050453,-0.323207,0.983377,-0.220711,0.340155,0.240976,-0.371008,-0.449140,0.420440,-0.006551,0.094008,-0.376211
0.007235,0.177649,0.284700,0.351146,0.036643,-0.003572,-0.553177,-0.583030,0.124908,0.737484,0.424376,0.495009,-1.676745,-0.084001,-0.556286,0.434894,-0.172169,0.100177,-0.373058,0.937630,-0.201169,0.396380,0.304568,-0.317075,-0.616990,0.446031,0.087308,0.170868,-0.243414
0.110192,0.165484,0.204587,0.262787,-0.013983,-0.028751,-0.571227,-0.532680,0.127433,0.456794,0.272826,0.588979,-1.695539,0.083450,-0.458609,0.474832,-0.284447,-0.093969,-0.234473,0.757971,-0.138695,0.214748,0.661313,-0.150356,-0.823091,0.295068,0.082420,0.020183,-0.295371
0.091213,0.125982,0.164040,0.265454,0.037566,-0.017293,-0.589812,-0.375980,0.099344,0.458923,0.276282,0.594314,-1.735759,0.077098,-0.410128,0.456837,-0.266401,-0.061162,-0.221778,0.639978,-0.118489,0.198148,0.701252,-0.041043,-0.937575,0.284483,0.087803,0.003552,-0.269136
0.053253,0.046978,0.082945,0.270789,0.140665,0.005622,-0.626981,-0.062580,0.043167,0.463183,0.283194,0.604983,-1.816199,0.064394,-0.313164,0.420848,-0.230309,0.004451,-0.196388,0.403993,-0.078076,0.164949,0.781130,0.177583,-1.166541,0.263311,0.098569,-0.029710,-0.216666
0.000340,0.084188,0.010623,0.306056,0.163900,0.057783,-0.657252,-0.078104,0.131310,0.552155,0.262772,0.572327,-1.605983,0.029122,-0.419909,0.409429,-0.167933,0.039239,-0.246744,0.265006,-0.070024,0.113691,1.204858,0.261558,-1.224220,0.277692,0.127991,-0.206696,-0.432994
